year,certificate,length,genres,category,rating,metascore,total_votes,US_box_office
2002.0,PG-13,88.0,"Action, Adventure, Comedy",Comedy,6.2,49.0,344351.0,190418803.0
2012.0,PG,101.0,"Animation, Adventure, Comedy",Comedy,7.7,72.0,381229.0,189422889.0
2013.0,V,98.0,"Animation, Adventure, Comedy",Comedy,7.2,55.0,193585.0,187168425.0
2005.0,PG-13,120.0,"Action, Comedy, Crime",Comedy,6.5,55.0,451285.0,186336279.0
2015.0,N-13,115.0,"Comedy, Music",Comedy,6.4,63.0,142768.0,184296230.0
2007.0,V,87.0,"Animation, Adventure, Comedy",Comedy,7.3,80.0,309315.0,183135014.0
2000.0,PG-13,127.0,"Comedy, Fantasy, Romance",Comedy,6.4,47.0,192056.0,182811707.0
1997.0,PG-13,86.0,"Comedy, Fantasy",Comedy,6.9,70.0,281641.0,181410615.0
2015.0,N-13,117.0,"Action, Adventure, Comedy",Comedy,7.3,64.0,572628.0,180202163.0
2008.0,V,89.0,"Animation, Adventure, Comedy",Comedy,6.6,61.0,206333.0,180010950.0
2012.0,PG-13,106.0,"Action, Adventure, Comedy",Comedy,6.8,58.0,335993.0,179020854.0
1990.0,R,119.0,"Comedy, Romance",Comedy,7.0,51.0,290835.0,178406268.0
2009.0,N-7,105.0,"Adventure, Comedy, Family",Comedy,6.0,42.0,178117.0,177243721.0
1998.0,R,119.0,"Comedy, Romance",Comedy,7.1,69.0,291319.0,176484651.0
2002.0,PG,81.0,"Animation, Adventure, Comedy",Comedy,7.5,60.0,443318.0,176387405.0
2017.0,V,104.0,"Animation, Action, Comedy",Comedy,7.3,75.0,131568.0,175750384.0
2017.0,PG,97.0,"Animation, Adventure, Comedy",Comedy,6.3,50.0,109202.0,175003033.0
2018.0,N-13,120.0,"Comedy, Drama, Romance",Comedy,6.9,74.0,143021.0,174532921.0
1992.0,V,120.0,"Adventure, Comedy, Crime",Comedy,6.8,46.0,311654.0,173585516.0
2003.0,PG,97.0,"Adventure, Comedy, Family",Comedy,7.0,64.0,231802.0,173398518.0
2018.0,N-7,130.0,"Comedy, Family, Fantasy",Comedy,6.7,66.0,77554.0,171958438.0
2002.0,PG-13,113.0,"Comedy, Crime, Musical",Comedy,7.2,81.0,216430.0,170687518.0
2015.0,V,89.0,"Animation, Comedy, Family",Comedy,6.7,44.0,108145.0,169700110.0
2007.0,N-7,100.0,"Action, Adventure, Comedy",Comedy,5.8,27.0,114297.0,168273550.0
2018.0,V,97.0,"Animation, Adventure, Comedy",Comedy,6.3,54.0,58082.0,167510016.0
2000.0,PG-13,108.0,"Comedy, Romance",Comedy,7.0,73.0,311752.0,166244045.0
2019.0,PG-13,130.0,"Comedy, Crime, Drama",Comedy,7.9,82.0,461720.0,165359751.0
2011.0,N-7,90.0,"Animation, Action, Adventure",Comedy,7.2,67.0,254671.0,165249063.0
1999.0,PG-13,93.0,"Comedy, Drama",Comedy,6.4,41.0,200493.0,163479795.0
2015.0,PG,92.0,"Animation, Action, Adventure",Comedy,6.0,62.0,49607.0,162994032.0
1998.0,PG-13,90.0,"Comedy, Sport",Comedy,6.2,41.0,149316.0,161491646.0
2012.0,V,88.0,"Animation, Adventure, Comedy",Comedy,6.5,49.0,192502.0,161321843.0
2004.0,PG,90.0,"Animation, Adventure, Comedy",Comedy,6.0,48.0,167400.0,160861908.0
2019.0,V,86.0,"Animation, Adventure, Comedy",Comedy,6.5,55.0,50054.0,158874395.0
2005.0,PG-13,113.0,"Comedy, Crime, Sport",Comedy,6.4,48.0,162947.0,158119460.0
2000.0,R,88.0,Comedy,Comedy,6.2,48.0,232730.0,157019771.0
2006.0,V,83.0,"Animation, Adventure, Comedy",Comedy,6.7,67.0,160274.0,155019340.0
2008.0,V,86.0,"Animation, Adventure, Comedy",Comedy,6.8,71.0,129917.0,154529439.0
1996.0,R,139.0,"Comedy, Drama, Romance",Comedy,7.3,77.0,243635.0,153952592.0
2016.0,V,92.0,"Animation, Adventure, Comedy",Comedy,6.5,55.0,72702.0,153707064.0
2002.0,PG,89.0,"Adventure, Comedy, Family",Comedy,5.1,35.0,100005.0,153288182.0
2017.0,V,102.0,"Animation, Adventure, Comedy",Comedy,6.7,59.0,77142.0,152901115.0
2008.0,R,145.0,"Comedy, Drama, Romance",Comedy,5.6,53.0,116259.0,152647258.0
1999.0,PG,116.0,"Comedy, Romance",Comedy,5.6,39.0,93146.0,152257509.0
2016.0,N-13,128.0,"Comedy, Drama, Music",Comedy,8.0,94.0,508437.0,151101803.0
2013.0,N-16,110.0,"Comedy, Crime",Comedy,7.0,44.0,405368.0,150394119.0
2015.0,N-7,96.0,"Comedy, Family",Comedy,6.2,42.0,109100.0,150357137.0
2011.0,PG,90.0,"Animation, Action, Adventure",Comedy,6.6,65.0,144799.0,149260504.0
2007.0,R,129.0,"Comedy, Romance",Comedy,6.9,85.0,351347.0,148734225.0
1997.0,PG-13,139.0,"Comedy, Drama, Romance",Comedy,7.7,67.0,276489.0,148478011.0
2010.0,V,95.0,"Animation, Action, Comedy",Comedy,7.2,63.0,229300.0,148415853.0
2010.0,PG-13,98.0,"Comedy, Romance",Comedy,5.5,27.0,106843.0,148383780.0
2012.0,N-7,91.0,"Animation, Comedy, Family",Comedy,7.1,47.0,225263.0,148313048.0
2006.0,PG-13,108.0,"Comedy, Sport",Comedy,6.6,66.0,168066.0,148213377.0
1994.0,R,141.0,"Action, Comedy, Thriller",Comedy,7.2,63.0,238371.0,146282411.0
2020.0,PG,99.0,"Action, Adventure, Comedy",Comedy,6.5,47.0,89689.0,146066470.0
2002.0,PG,85.0,"Animation, Adventure, Comedy",Comedy,7.2,73.0,169172.0,145794338.0
2001.0,R,108.0,Comedy,Comedy,6.4,43.0,240496.0,145103595.0
1994.0,PG,97.0,"Comedy, Drama, Family",Comedy,6.5,57.0,100832.0,144833357.0
1998.0,PG-13,85.0,"Comedy, Family, Fantasy",Comedy,5.4,46.0,91553.0,144156605.0
2008.0,PG-13,108.0,"Comedy, Musical, Romance",Comedy,6.4,51.0,216851.0,144130063.0
2019.0,N-7,104.0,"Action, Adventure, Comedy",Comedy,6.6,53.0,138615.0,144105346.0
2011.0,V,96.0,"Animation, Adventure, Comedy",Comedy,6.9,63.0,206956.0,143619809.0
2016.0,V,95.0,"Animation, Action, Adventure",Comedy,7.1,66.0,135172.0,143528619.0
2007.0,PG-13,96.0,"Comedy, Drama",Comedy,7.4,81.0,491953.0,143495265.0
2008.0,N-7,111.0,"Comedy, Drama, Family",Comedy,7.1,53.0,147274.0,143153751.0
2011.0,V,103.0,"Animation, Adventure, Comedy",Comedy,5.4,30.0,84064.0,142614158.0
2019.0,N-16,161.0,"Comedy, Drama",Comedy,7.6,83.0,556870.0,142502728.0
1998.0,PG-13,98.0,"Action, Comedy, Crime",Comedy,7.0,60.0,239527.0,141153686.0
2019.0,N-13,132.0,"Action, Adventure, Comedy",Comedy,7.0,71.0,257390.0,140371656.0
2018.0,N-13,110.0,"Action, Comedy, Crime",Comedy,7.0,61.0,188678.0,140218711.0
2007.0,PG-13,91.0,"Action, Comedy, Crime",Comedy,6.2,44.0,153733.0,140125968.0
1999.0,PG,84.0,"Adventure, Comedy, Family",Comedy,5.9,61.0,126094.0,140035367.0
1992.0,PG,100.0,"Comedy, Crime, Family",Comedy,6.4,51.0,88436.0,139610000.0
2003.0,PG,98.0,"Comedy, Family",Comedy,5.9,46.0,94157.0,138614544.0
2003.0,R,147.0,"Action, Comedy, Crime",Comedy,6.6,38.0,232307.0,138608444.0
2012.0,N-16,109.0,"Action, Comedy, Crime",Comedy,7.2,69.0,511725.0,138447667.0
2006.0,PG-13,107.0,"Comedy, Drama, Fantasy",Comedy,6.4,45.0,306561.0,137355633.0
2003.0,PG-13,106.0,Comedy,Comedy,6.3,52.0,203451.0,135645823.0
2005.0,V,81.0,"Animation, Adventure, Comedy",Comedy,5.7,48.0,86159.0,135386665.0
1998.0,PG-13,115.0,"Biography, Comedy, Drama",Comedy,6.8,25.0,105636.0,135026902.0
2014.0,PG-13,99.0,"Action, Comedy, Crime",Comedy,6.2,41.0,103612.0,134938200.0
2013.0,N-13,111.0,"Adventure, Comedy, Crime",Comedy,5.7,35.0,125199.0,134506920.0
2013.0,N-13,101.0,Comedy,Comedy,5.4,19.0,141112.0,133668525.0
2011.0,G,87.0,"Animation, Adventure, Comedy",Comedy,4.3,24.0,31640.0,133110742.0
2003.0,PG-13,105.0,Comedy,Comedy,5.6,39.0,35005.0,132716677.0
2012.0,N-13,122.0,"Comedy, Drama, Romance",Comedy,7.7,81.0,663393.0,132092958.0
2014.0,V,101.0,"Animation, Adventure, Comedy",Comedy,6.3,49.0,80550.0,131538435.0
1994.0,PG,91.0,"Comedy, Family, Fantasy",Comedy,4.9,38.0,75968.0,130512915.0
2008.0,N-7,110.0,"Action, Adventure, Comedy",Comedy,6.5,54.0,204476.0,130319208.0
2015.0,V,88.0,"Animation, Comedy, Family",Comedy,7.1,67.0,42444.0,130178411.0
1996.0,PG-13,95.0,"Comedy, Romance, Sci-Fi",Comedy,5.6,62.0,110160.0,128814019.0
2006.0,R,84.0,Comedy,Comedy,7.3,89.0,378690.0,128505958.0
2016.0,N-13,117.0,"Action, Comedy, Fantasy",Comedy,6.5,60.0,204793.0,128344089.0
2014.0,N-16,129.0,"Action, Adventure, Comedy",Comedy,7.7,60.0,591721.0,128261724.0
2005.0,V,91.0,"Animation, Adventure, Comedy",Comedy,6.3,64.0,133284.0,128200012.0
2014.0,N-7,125.0,"Adventure, Comedy, Drama",Comedy,5.9,69.0,132907.0,128002372.0
2007.0,V,107.0,"Animation, Comedy, Family",Comedy,7.0,75.0,177226.0,127807262.0
2016.0,N-13,107.0,"Action, Comedy, Crime",Comedy,6.3,52.0,160291.0,127440871.0
2013.0,PG-13,119.0,Comedy,Comedy,6.3,61.0,169315.0,127352707.0
2002.0,PG-13,108.0,"Comedy, Romance",Comedy,6.2,45.0,102796.0,127223418.0
1997.0,PG-13,105.0,"Comedy, Drama, Romance",Comedy,6.3,50.0,130211.0,127120029.0
2007.0,V,91.0,"Animation, Adventure, Comedy",Comedy,6.1,54.0,143121.0,126631277.0
1993.0,PG,105.0,"Comedy, Drama, Romance",Comedy,6.8,72.0,161184.0,126533006.0
2002.0,PG-13,96.0,"Comedy, Romance",Comedy,5.8,24.0,136594.0,126293452.0
1998.0,PG,103.0,"Comedy, Drama",Comedy,8.1,90.0,943598.0,125618201.0
2000.0,PG-13,98.0,"Action, Adventure, Comedy",Comedy,5.5,52.0,176550.0,125305545.0
2009.0,V,90.0,"Animation, Adventure, Comedy",Comedy,6.9,66.0,206000.0,124870275.0
2006.0,PG-13,109.0,"Comedy, Drama",Comedy,6.9,62.0,372742.0,124740460.0
2003.0,N-7,128.0,"Comedy, Drama, Romance",Comedy,6.7,66.0,112221.0,124728738.0
1996.0,R,117.0,Comedy,Comedy,7.1,72.0,80099.0,124060553.0
2011.0,PG,107.0,"Animation, Adventure, Comedy",Comedy,7.2,75.0,237651.0,123477607.0
2000.0,PG-13,106.0,"Comedy, Romance, Sci-Fi",Comedy,4.4,38.0,48398.0,123309890.0
2015.0,V,93.0,"Animation, Adventure, Comedy",Comedy,6.7,66.0,102534.0,123087120.0
1992.0,PG-13,94.0,"Comedy, Music",Comedy,7.0,57.0,144516.0,121697350.0
2007.0,N-16,113.0,Comedy,Comedy,7.6,76.0,522289.0,121463226.0
2004.0,PG-13,99.0,"Comedy, Drama, Romance",Comedy,6.8,48.0,327913.0,120908074.0
2018.0,N-13,114.0,"Comedy, Musical, Romance",Comedy,6.6,60.0,80831.0,120634935.0
2008.0,PG-13,88.0,"Comedy, Drama, Romance",Comedy,5.7,41.0,66324.0,120146040.0
2007.0,V,115.0,"Comedy, Romance",Comedy,5.9,37.0,141212.0,120059556.0
1994.0,PG-13,101.0,"Action, Comedy, Crime",Comedy,6.9,56.0,347763.0,119938730.0
2013.0,PG,95.0,"Animation, Adventure, Comedy",Comedy,6.4,59.0,91182.0,119793567.0
1991.0,V,142.0,"Adventure, Comedy, Family",Comedy,6.8,52.0,235694.0,119654823.0
2009.0,PG,88.0,"Animation, Action, Adventure",Comedy,5.1,41.0,42896.0,119436770.0
2010.0,PG-13,107.0,"Action, Comedy, Crime",Comedy,6.6,64.0,243672.0,119219978.0
2007.0,V,117.0,"Comedy, Drama, Musical",Comedy,6.6,81.0,120009.0,118871849.0
2006.0,PG-13,106.0,"Comedy, Drama, Romance",Comedy,5.8,45.0,125765.0,118703275.0
2004.0,N-7,108.0,"Adventure, Comedy, Family",Comedy,6.8,62.0,196564.0,118627117.0
2007.0,PG-13,93.0,"Comedy, Sport",Comedy,6.3,64.0,158355.0,118594548.0
2000.0,PG-13,99.0,"Action, Comedy, Crime",Comedy,5.2,33.0,81060.0,117559438.0
2011.0,R,98.0,"Comedy, Crime",Comedy,6.9,57.0,422424.0,117538559.0
2010.0,R,95.0,"Documentary, Action, Comedy",Comedy,7.0,56.0,56849.0,117224271.0
1999.0,PG-13,124.0,"Comedy, Drama, Romance",Comedy,7.1,68.0,276551.0,116089678.0
1998.0,PG,119.0,"Comedy, Drama, Romance",Comedy,6.7,57.0,195910.0,115821495.0
2018.0,V,95.0,"Adventure, Comedy, Family",Comedy,6.6,51.0,35578.0,115253424.0
2017.0,R,122.0,"Adventure, Comedy, Drama",Comedy,6.2,71.0,34466.0,115171585.0
2004.0,PG-13,92.0,"Comedy, Sport",Comedy,6.7,55.0,229683.0,114326736.0
2008.0,V,96.0,"Animation, Adventure, Comedy",Comedy,6.8,67.0,190685.0,114053579.0
1999.0,PG-13,106.0,"Action, Comedy, Sci-Fi",Comedy,5.0,38.0,153346.0,113805681.0
2014.0,N-7,98.0,"Adventure, Comedy, Family",Comedy,6.2,47.0,107575.0,113746621.0
2012.0,N-16,110.0,"Comedy, Drama",Comedy,6.1,72.0,131678.0,113721571.0
2016.0,N-16,100.0,Comedy,Comedy,6.2,60.0,114591.0,113257297.0
2005.0,PG,95.0,"Action, Comedy, Drama",Comedy,5.6,30.0,88209.0,113086868.0
2001.0,PG,87.0,"Comedy, Family, Fantasy",Comedy,4.7,49.0,41869.0,112952899.0
2009.0,R,121.0,"Comedy, Drama, Romance",Comedy,6.5,57.0,86541.0,112735375.0
2001.0,PG,88.0,"Action, Adventure, Comedy",Comedy,5.5,71.0,108966.0,112719001.0
1989.0,V,108.0,"Action, Comedy, Fantasy",Comedy,6.6,56.0,183698.0,112494738.0
2013.0,N-16,100.0,"Comedy, Crime",Comedy,5.8,30.0,293977.0,112200072.0
2003.0,PG,84.0,"Action, Adventure, Comedy",Comedy,4.3,57.0,55342.0,111761982.0
2014.0,V,92.0,"Animation, Adventure, Comedy",Comedy,6.8,59.0,62737.0,111506430.0
2015.0,N-16,120.0,"Action, Comedy",Comedy,7.0,75.0,230317.0,110825712.0
2008.0,R,107.0,"Action, Comedy, War",Comedy,7.0,71.0,378359.0,110515313.0
2005.0,PG-13,90.0,"Comedy, Crime",Comedy,6.2,47.0,135573.0,110332737.0
2003.0,PG,97.0,"Comedy, Family, Fantasy",Comedy,6.2,70.0,125711.0,110230332.0
2015.0,N-16,125.0,"Comedy, Drama, Romance",Comedy,6.2,75.0,129607.0,110212700.0
2008.0,V,99.0,"Adventure, Comedy, Family",Comedy,6.0,33.0,88448.0,110101975.0
2003.0,PG-13,84.0,"Comedy, Horror",Comedy,5.5,49.0,137774.0,110003217.0
1986.0,PG,119.0,"Action, Adventure, Comedy",Comedy,7.3,71.0,79143.0,109713132.0
