title,year,certificate,length,genres,category,rating,metascore,total_votes,US_box_office
La troškinys,2007,V,111 min,"Animation, Adventure, Comedy",Comedy,8.0,96,643736,206445654
Pašėlę vyrukai amžiams,2020,R,124 min,"Action, Comedy, Crime",Comedy,6.6,59,131097,206305244
"Ostinas Pauersas. Šnipas, kuris mane suvedžiojo",1999,PG-13,95 min,"Action, Adventure, Comedy",Comedy,6.6,59,217055,206040086
Ralfas Griovejas 2,2018,V,112 min,"Animation, Adventure, Comedy",Comedy,7.0,71,132817,201091711
Ilgo plauko istorija,2010,N-7,100 min,"Animation, Adventure, Comedy",Comedy,7.7,71,407092,200821936
Monstrai prieš ateivius,2009,V,94 min,"Animation, Action, Adventure",Comedy,6.4,56,147480,198351526
Linksmos pedutes,2006,V,108 min,"Animation, Adventure, Comedy",Comedy,6.4,77,170501,198000317
Ledynmetis: dinozauru eros pradzia,2009,V,94 min,"Animation, Adventure, Comedy",Comedy,6.9,50,224760,196573705
Ledynmetis 2: eros pabaiga,2006,V,91 min,"Animation, Adventure, Comedy",Comedy,6.8,60,257506,195330621
Madagaskaras,2005,V,86 min,"Animation, Adventure, Comedy",Comedy,6.9,57,368012,193595521
Žaislų istorija,1995,nan,81 min,"Animation, Adventure, Comedy",Comedy,8.3,95,890391,191796233
Nevykeliai po priedanga 2,2014,N-16,112 min,"Action, Comedy, Crime",Comedy,7.0,71,346517,191719337
Ratai 2,2011,V,106 min,"Animation, Adventure, Comedy",Comedy,6.1,57,161873,191452396
Vezliukai nindzes,2014,N-13,101 min,"Action, Adventure, Comedy",Comedy,5.8,31,201264,191204754
Vyrai juodais drabužiais II,2002,PG-13,88 min,"Action, Adventure, Comedy",Comedy,6.2,49,344351,190418803
Ralfas Griovejas,2012,PG,101 min,"Animation, Adventure, Comedy",Comedy,7.7,72,381229,189422889
Krudžiai,2013,V,98 min,"Animation, Adventure, Comedy",Comedy,7.2,55,193585,187168425
Ponas ir ponia Smitai,2005,PG-13,120 min,"Action, Comedy, Crime",Comedy,6.5,55,451285,186336279
Aukšta klasė 2,2015,N-13,115 min,"Comedy, Music",Comedy,6.4,63,142768,184296230
Svajoniu traukinys,2004,nan,100 min,"Animation, Adventure, Comedy",Comedy,6.6,61,180993,183373735
Simpsonu filmas,2007,V,87 min,"Animation, Adventure, Comedy",Comedy,7.3,80,309315,183135014
Ko nori moterys,2000,PG-13,127 min,"Comedy, Fantasy, Romance",Comedy,6.4,47,192056,182811707
Melagi melagi,1997,PG-13,86 min,"Comedy, Fantasy",Comedy,6.9,70,281641,181410615
Skruzdeliukas,2015,N-13,117 min,"Action, Adventure, Comedy",Comedy,7.3,64,572628,180202163
Madagaskaras 2,2008,V,89 min,"Animation, Adventure, Comedy",Comedy,6.6,61,206333,180010950
Hičas - meilės specialistas,nan,PG-13,118 min,"Comedy, Romance",Comedy,6.6,58,296383,179495555
Vyrai juodais drabužiais III,2012,PG-13,106 min,"Action, Adventure, Comedy",Comedy,6.8,58,335993,179020854
Graži moteris,1990,R,119 min,"Comedy, Romance",Comedy,7.0,51,290835,178406268
Namai,nan,V,94 min,"Animation, Adventure, Comedy",Comedy,6.6,55,92213,177397510
Naktis muziejuje 2,2009,N-7,105 min,"Adventure, Comedy, Family",Comedy,6.0,42,178117,177243721
Tutsi,1982,nan,116 min,"Comedy, Drama, Romance",Comedy,7.4,88,98228,177200000
Pakvaišę del Meres,1998,R,119 min,"Comedy, Romance",Comedy,7.1,69,291319,176484651
Ledynmetis,2002,PG,81 min,"Animation, Adventure, Comedy",Comedy,7.5,60,443318,176387405
Lego Betmenas. Filmas,2017,V,104 min,"Animation, Action, Comedy",Comedy,7.3,75,131568,175750384
Ponas Kudikis,2017,PG,97 min,"Animation, Adventure, Comedy",Comedy,6.3,50,109202,175003033
'Crocodile' Dundee,1986,nan,97 min,"Action, Adventure, Comedy",Comedy,6.6,62,92905,174635000
Pasakiškai turtingi,2018,N-13,120 min,"Comedy, Drama, Romance",Comedy,6.9,74,143021,174532921
Vienas namuose 2: pasiklydęs Niujorke,1992,V,120 min,"Adventure, Comedy, Crime",Comedy,6.8,46,311654,173585516
Elfas,2003,PG,97 min,"Adventure, Comedy, Family",Comedy,7.0,64,231802,173398518
Merė Popins sugrįžta,2018,N-7,130 min,"Comedy, Family, Fantasy",Comedy,6.7,66,77554,171958438
Čikaga,2002,PG-13,113 min,"Comedy, Crime, Musical",Comedy,7.2,81,216430,170687518
Monstru viesbutis 2,2015,V,89 min,"Animation, Comedy, Family",Comedy,6.7,44,108145,169700110
Sunokusios pamerges,nan,R,125 min,"Comedy, Romance",Comedy,6.8,75,269111,169106725
Laukiniai šernai,2007,N-7,100 min,"Action, Adventure, Comedy",Comedy,5.8,27,114297,168273550
Trys vyrai ir kūdikis,1987,nan,102 min,"Comedy, Drama, Family",Comedy,6.1,61,48289,167780960
Monstru viešbutis: atostogos,2018,V,97 min,"Animation, Adventure, Comedy",Comedy,6.3,54,58082,167510016
Paskutinis tevu išbandymas,2000,PG-13,108 min,"Comedy, Romance",Comedy,7.0,73,311752,166244045
Ištraukti peiliai,2019,PG-13,130 min,"Comedy, Crime, Drama",Comedy,7.9,82,461720,165359751
Kung Fu Panda 2,2011,N-7,90 min,"Animation, Action, Adventure",Comedy,7.2,67,254671,165249063
Pirslybos,nan,N-7,108 min,"Comedy, Drama, Romance",Comedy,6.7,48,296887,163958031
Kietas Tetušis,1999,PG-13,93 min,"Comedy, Drama",Comedy,6.4,41,200493,163479795
Kempiniukas Placiakelnis,2015,PG,92 min,"Animation, Action, Adventure",Comedy,6.0,62,49607,162994032
Iš vabalu gyvenimo,1998,nan,95 min,"Animation, Adventure, Comedy",Comedy,7.2,77,267203,162798565
Nebrendylos,nan,PG-13,102 min,Comedy,Comedy,5.9,30,228971,162001186
Stadiono vaikis,1998,PG-13,90 min,"Comedy, Sport",Comedy,6.2,41,149316,161491646
Ledynmetis 4: žemynų atsiradimas,2012,V,88 min,"Animation, Adventure, Comedy",Comedy,6.5,49,192502,161321843
Visa tiesa apie rykli,2004,PG,90 min,"Animation, Adventure, Comedy",Comedy,6.0,48,167400,160861908
Apgaulė,1973,nan,129 min,"Comedy, Crime, Drama",Comedy,8.3,83,242216,159600000
Vienas suvis. Dvi kulkos,nan,N-13,117 min,"Action, Comedy, Crime",Comedy,6.6,60,162660,159582188
Slaptas augintiniu gyvenimas 2,2019,V,86 min,"Animation, Adventure, Comedy",Comedy,6.5,55,50054,158874395
Ilgiausias jardas,2005,PG-13,113 min,"Comedy, Crime, Sport",Comedy,6.4,48,162947,158119460
Pats baisiausias filmas,2000,R,88 min,Comedy,Comedy,6.2,48,232730,157019771
Kas pakišo triušį Rodžerį,1988,nan,104 min,"Animation, Adventure, Comedy",Comedy,7.7,83,182379,156452370
Anapus tvoros,2006,V,83 min,"Animation, Adventure, Comedy",Comedy,6.7,67,160274,155019340
Hortonas,2008,V,86 min,"Animation, Adventure, Comedy",Comedy,6.8,71,129917,154529439
Džeris Magvairas,1996,R,139 min,"Comedy, Drama, Romance",Comedy,7.3,77,243635,153952592
Troliai,2016,V,92 min,"Animation, Adventure, Comedy",Comedy,6.5,55,72702,153707064
Beverli Hilso policininkas 2,1987,nan,100 min,"Action, Comedy, Crime",Comedy,6.5,48,107849,153665000
Skubis Du,2002,PG,89 min,"Adventure, Comedy, Family",Comedy,5.1,35,100005,153288182
Ratai 3,2017,V,102 min,"Animation, Adventure, Comedy",Comedy,6.7,59,77142,152901115
Seksas ir miestas,2008,R,145 min,"Comedy, Drama, Romance",Comedy,5.6,53,116259,152647258
Pabegusi nuotaka,1999,PG,116 min,"Comedy, Romance",Comedy,5.6,39,93146,152257509
Kalifornijos svajos,2016,N-13,128 min,"Comedy, Drama, Music",Comedy,8.0,94,508437,151101803
"Labas, mes Mileriai",2013,N-16,110 min,"Comedy, Crime",Comedy,7.0,44,405368,150394119
Tetukas namie,2015,N-7,96 min,"Comedy, Family",Comedy,6.2,42,109100,150357137
Kaimynai,nan,N-16,97 min,Comedy,Comedy,6.3,68,287621,150157400
Batuotas katinas Pukis,2011,PG,90 min,"Animation, Action, Adventure",Comedy,6.6,65,144799,149260504
Užkibo,2007,R,129 min,"Comedy, Romance",Comedy,6.9,85,351347,148734225
"Kaip bus, taip gerai",1997,PG-13,139 min,"Comedy, Drama, Romance",Comedy,7.7,67,276489,148478011
Megamaindas,2010,V,95 min,"Animation, Action, Comedy",Comedy,7.2,63,229300,148415853
Paskutinis tevu išbandymas. Mažieji Fakeriai,2010,PG-13,98 min,"Comedy, Romance",Comedy,5.5,27,106843,148383780
Monstru viesbutis,2012,N-7,91 min,"Animation, Comedy, Family",Comedy,7.1,47,225263,148313048
Talladega Nights: The Ballad of Ricky Bobby,2006,PG-13,108 min,"Comedy, Sport",Comedy,6.6,66,168066,148213377
Gremlinai,1984,nan,106 min,"Comedy, Fantasy, Horror",Comedy,7.3,70,200421,148170000
Melas vardan tiesos,1994,R,141 min,"Action, Comedy, Thriller",Comedy,7.2,63,238371,146282411
Ežiukas Sonic,2020,PG,99 min,"Action, Adventure, Comedy",Comedy,6.5,47,89689,146066470
Lilo ir Stičas,2002,PG,85 min,"Animation, Adventure, Comedy",Comedy,7.2,73,169172,145794338
Geras kinas,2001,R,108 min,Comedy,Comedy,6.4,43,240496,145103595
Šimtas vienas dalmatinas,1961,nan,79 min,"Animation, Adventure, Comedy",Comedy,7.3,83,153398,144880014
Kaledu senelis,1994,PG,97 min,"Comedy, Drama, Family",Comedy,6.5,57,100832,144833357
Daktaras Dolitlis,1998,PG-13,85 min,"Comedy, Family, Fantasy",Comedy,5.4,46,91553,144156605
Mamma Mia!,2008,PG-13,108 min,"Comedy, Musical, Romance",Comedy,6.4,51,216851,144130063
POKEMON detektyvas Pikachu,2019,N-7,104 min,"Action, Adventure, Comedy",Comedy,6.6,53,138615,144105346
Rio,2011,V,96 min,"Animation, Adventure, Comedy",Comedy,6.9,63,206956,143619809
Kung Fu Panda 3,2016,V,95 min,"Animation, Action, Adventure",Comedy,7.1,66,135172,143528619
Dzuno,2007,PG-13,96 min,"Comedy, Drama",Comedy,7.4,81,491953,143495265
Marlis ir aš,2008,N-7,111 min,"Comedy, Drama, Family",Comedy,7.1,53,147274,143153751
Smurfai 3D,2011,V,103 min,"Animation, Adventure, Comedy",Comedy,5.4,30,84064,142614158
Vieną kartą Holivude,2019,N-16,161 min,"Comedy, Drama",Comedy,7.6,83,556870,142502728
Piko valanda,1998,PG-13,98 min,"Action, Comedy, Crime",Comedy,7.0,60,239527,141153686
Shazam!,2019,N-13,132 min,"Action, Adventure, Comedy",Comedy,7.0,71,257390,140371656
Ouseno 8,2018,N-13,110 min,"Action, Comedy, Crime",Comedy,7.0,61,188678,140218711
Piko valanda 3,2007,PG-13,91 min,"Action, Comedy, Crime",Comedy,6.2,44,153733,140125968
Kas čia kalba?,1989,nan,93 min,Comedy,Comedy,5.9,51,77385,140088813
