title,year,certificate,length,genres,category,rating,metascore,total_votes,US_box_office
Kapitonas Amerika: Žiemos karys,2014,N-13,136 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.7,70,738772,259766572
Žvaigždžių kelias,2009,PG-13,127 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.9,82,578023,257730019
As esu legenda,2007,PG-13,101 min,"Action, Adventure, Drama",Sci-Fi,7.2,65,688595,256386216
Vyrai juodais drabužiais,1997,PG-13,98 min,"Action, Adventure, Comedy",Sci-Fi,7.3,71,517179,250690539
Transformeriai: išnykimo amžius,2014,N-13,165 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.6,32,298418,245439076
Vaiduokliu medžiotojai,1984,nan,105 min,"Action, Comedy, Fantasy",Sci-Fi,7.8,71,356243,238632124
Iksmenai: žutbutinis mušis,2006,PG-13,104 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.7,58,483552,234362462
Pasaulių karas,2005,PG-13,116 min,"Adventure, Sci-Fi, Thriller",Sci-Fi,6.5,73,416834,234280354
Iksmenai: Praėjusios ateities dienos,2014,N-13,132 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.9,75,661448,233921534
Daktaras Streindžas,2016,N-13,115 min,"Action, Adventure, Fantasy",Sci-Fi,7.5,72,601061,232641920
Dingęs pasaulis: Juros periodo parkas,1997,PG-13,129 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.6,59,380447,229086679
Teisingumo lyga,2017,N-13,120 min,"Action, Adventure, Fantasy",Sci-Fi,6.3,45,386544,229024295
Tolyn i tamsą. Žvaigždžiu kelias,2013,N-7,132 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.7,72,463755,228778661
Marsietis,2015,N-13,144 min,"Adventure, Drama, Sci-Fi",Sci-Fi,8.0,80,762583,228433663
Ženklai,2002,PG-13,106 min,"Drama, Mystery, Sci-Fi",Sci-Fi,6.7,59,337623,227966634
Loganas. Ernis,2017,N-16,137 min,"Action, Drama, Sci-Fi",Sci-Fi,8.1,77,650497,226277068
WALL·E. Šiukšlių princo istorija,2008,V,98 min,"Animation, Adventure, Family",Sci-Fi,8.4,95,1003019,223808164
Galingasis 6,2014,V,102 min,"Animation, Action, Adventure",Sci-Fi,7.8,74,412114,222527828
Skruzdeliukas ir vapsva,2018,N-13,118 min,"Action, Adventure, Comedy",Sci-Fi,7.1,70,312144,216648740
Iksmenai 2,2003,PG-13,134 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.4,68,512700,214949694
Solo: Žvaigždžių karų istorija,2018,N-13,135 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.9,62,294210,213767512
Venomas,2018,N-13,112 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.7,35,362582,213515506
Atgal į ateitį,1985,nan,116 min,"Adventure, Comedy, Sci-Fi",Sci-Fi,8.5,87,1061880,210609762
Beždžionių planetos aušra,2014,N-13,130 min,"Action, Adventure, Drama",Sci-Fi,7.6,79,412278,208545589
Terminatorius 2: paskutinio teismo diena,1991,R,137 min,"Action, Sci-Fi",Sci-Fi,8.5,75,998072,204843350
Nepaprastas žmogus-voras 2,2014,N-13,142 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.6,53,417988,202853933
Pasaulinis karas Z,2013,N-13,116 min,"Action, Adventure, Horror",Sci-Fi,7.0,63,603154,202359711
Armagedonas,1998,PG-13,151 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.7,42,396530,201573391
Godzila,2014,N-13,123 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.4,62,378621,200676069
Supermenas: sugrižimas,2006,PG-13,154 min,"Action, Sci-Fi",Sci-Fi,6.0,72,271251,200081192
Monstrai prieš ateivius,2009,V,94 min,"Animation, Action, Adventure",Sci-Fi,6.4,56,147480,198351526
Ratai 2,2011,V,106 min,"Animation, Adventure, Comedy",Sci-Fi,6.1,57,161873,191452396
Vezliukai nindzes,2014,N-13,101 min,"Action, Adventure, Comedy",Sci-Fi,5.8,31,201264,191204754
Vyrai juodais drabužiais II,2002,PG-13,88 min,"Action, Adventure, Comedy",Sci-Fi,6.2,49,344351,190418803
Žmogus-voras: į naują visatą,2018,N-7,117 min,"Animation, Action, Adventure",Sci-Fi,8.4,87,378804,190241310
Tylos zona,2018,N-13,90 min,"Drama, Horror, Sci-Fi",Sci-Fi,7.5,82,409661,188024361
Tarp žvaigždžių,2014,N-13,169 min,"Adventure, Drama, Sci-Fi",Sci-Fi,8.6,74,1519725,188020017
Diena po rytojaus,2004,PG-13,124 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.4,47,416312,186740799
Juros periodo parkas III,2001,PG-13,92 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.9,42,296469,181171875
Skruzdeliukas,2015,N-13,117 min,"Action, Adventure, Comedy",Sci-Fi,7.3,64,572628,180202163
Beždžioniu planeta,2001,PG-13,119 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.7,50,210601,180011740
Iksmenai: pradžia. Ernis,2009,PG-13,107 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.6,40,468380,179883157
Vyrai juodais drabužiais III,2012,PG-13,106 min,"Action, Adventure, Comedy",Sci-Fi,6.8,58,335993,179020854
Namai,nan,V,94 min,"Animation, Adventure, Comedy",Sci-Fi,6.6,55,92213,177397510
Bezdzioniu planetos sukilimas,2011,PG-13,105 min,"Action, Drama, Sci-Fi",Sci-Fi,7.6,68,496637,176760185
Kapitonas Amerika: Pirmasis keršytojas,2011,PG-13,124 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.9,66,743098,176654505
Tronas: Palikimas,2010,PG,125 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.8,49,313816,172062763
Matrica,1999,R,136 min,"Action, Sci-Fi",Sci-Fi,8.7,73,1682285,171479930
Kongas: Kaukoles sala,2017,N-13,118 min,"Action, Adventure, Fantasy",Sci-Fi,6.6,62,272902,168052812
2012,nan,PG-13,158 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.8,49,354035,166112167
Zvaigzdziu kelias i begalybe,2016,N-13,122 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.1,68,228847,158848340
Iksmenai,2000,PG-13,104 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.4,64,571908,157299717
Iksmenai: Apokalipse,2016,N-13,144 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.9,52,394382,155442489
Fantastiskas ketvertas,nan,N-7,106 min,"Action, Adventure, Fantasy",Sci-Fi,5.7,40,312014,154696080
Pašėlęs Maksas: įtūžio kelias,2015,N-16,120 min,"Action, Adventure, Sci-Fi",Sci-Fi,8.1,90,885403,154058340
Eilinis Džo. Kobros prisikelimas,2009,PG-13,118 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.8,32,199277,152267519
Divergente,2014,N-13,139 min,"Action, Adventure, Mystery",Sci-Fi,6.6,48,426748,150947895
Terminatorius 3: masinu prisikelimas,2003,R,109 min,"Action, Sci-Fi",Sci-Fi,6.3,66,378053,150371112
Megamaindas,2010,V,95 min,"Animation, Action, Comedy",Sci-Fi,7.2,63,229300,148415853
Karas uz bezdzioniu planeta,2017,N-13,140 min,"Action, Adventure, Drama",Sci-Fi,7.4,82,228608,146880162
Iksmenai: pirma klase,2011,PG-13,131 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.7,65,646808,146408305
Ežiukas Sonic,2020,PG,99 min,"Action, Adventure, Comedy",Sci-Fi,6.5,47,89689,146066470
Lilo ir Stičas,2002,PG,85 min,"Animation, Adventure, Comedy",Sci-Fi,7.2,73,169172,145794338
Aš - robotas,2004,PG-13,115 min,"Action, Drama, Sci-Fi",Sci-Fi,7.1,59,499909,144801023
POKEMON detektyvas Pikachu,2019,N-7,104 min,"Action, Adventure, Comedy",Sci-Fi,6.6,53,138615,144105346
Megalodonas: gresme iš gelmiu,2018,N-13,113 min,"Action, Horror, Sci-Fi",Sci-Fi,5.6,46,150904,143005856
Gilus sukretimas,1998,PG-13,120 min,"Action, Drama, Romance",Sci-Fi,6.2,40,164941,140464664
Matrica. Revoliucijos,2003,R,129 min,"Action, Sci-Fi",Sci-Fi,6.8,47,449349,139313948
OAZE: Žaidimas prasideda,2018,N-13,140 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.5,64,371164,137690172
Godzila,nan,PG-13,139 min,"Action, Sci-Fi, Thriller",Sci-Fi,5.4,32,182801,136314294
Viščiukas Cypsius,2005,V,81 min,"Animation, Adventure, Comedy",Sci-Fi,5.7,48,86159,135386665
Vezliukai nindzes,1990,nan,93 min,"Action, Adventure, Comedy",Sci-Fi,6.8,51,85567,135265915
Nerealusis Halkas,2008,PG-13,112 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.7,61,435323,134518390
Supermenas,1978,PG,143 min,"Action, Adventure, Drama",Sci-Fi,7.3,80,159559,134218018
Ernis,2013,N-13,126 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.7,61,430740,132556852
Milžinas Halkas,2003,V,138 min,"Action, Sci-Fi",Sci-Fi,5.6,54,252222,132177234
Artimi trečiojo laipsnio kontaktai,1977,nan,138 min,"Drama, Sci-Fi",Sci-Fi,7.6,90,185460,132088635
Įspėjantis pranešimas,2002,PG-13,145 min,"Action, Crime, Mystery",Sci-Fi,7.6,80,509532,132072926
Fantastiskas ketvertas: sidabrinio banglentininko iskilimas,2007,N-7,92 min,"Action, Adventure, Fantasy",Sci-Fi,5.6,45,251154,131921738
"Brangioji, aš sumažinau vaikus",1989,nan,93 min,"Adventure, Comedy, Family",Sci-Fi,6.4,63,143433,130724172
Insurgente,2015,N-13,119 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.2,42,218452,130179072
Transformeriai: paskutinis riteris,2017,PG-13,154 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.2,27,136065,130168683
Išprotėjęs profesorius,1996,PG-13,95 min,"Comedy, Romance, Sci-Fi",Sci-Fi,5.6,62,110160,128814019
Vaiduokliu medžiotojai,2016,N-13,117 min,"Action, Comedy, Fantasy",Sci-Fi,6.5,60,204793,128344089
Robotai,2005,V,91 min,"Animation, Adventure, Comedy",Sci-Fi,6.3,64,133284,128200012
Kamane,nan,N-13,114 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.8,66,139896,127195589
Super 8,2011,PG-13,112 min,"Mystery, Sci-Fi, Thriller",Sci-Fi,7.0,72,338940,127004179
Liusi,nan,N-16,89 min,"Action, Sci-Fi, Thriller",Sci-Fi,6.4,61,448010,126663600
Prometejas,nan,N-13,124 min,"Adventure, Mystery, Sci-Fi",Sci-Fi,7.0,64,569355,126477084
Terminatorius: išsigelbejimas,2009,PG-13,115 min,"Action, Sci-Fi",Sci-Fi,6.5,49,344151,125322469
"Debesuota, numatoma mesos kukuliu kruša",2009,V,90 min,"Animation, Adventure, Comedy",Sci-Fi,6.9,66,206000,124870275
Išprotejęs profesorius 2: Klampu šeimynele,2000,PG-13,106 min,"Comedy, Romance, Sci-Fi",Sci-Fi,4.4,38,48398,123309890
G.I. Joe: Retaliation,2013,N-13,110 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.8,41,173218,122523060
"Debesuota, numatoma mesos kukuliu kruša 2",2013,PG,95 min,"Animation, Adventure, Comedy",Sci-Fi,6.4,59,91182,119793567
G Burys,2009,PG,88 min,"Animation, Action, Adventure",Sci-Fi,5.1,41,42896,119436770
Viska prisiminti,1990,nan,113 min,"Action, Sci-Fi, Thriller",Sci-Fi,7.5,57,303225,119394840
Atgal i ateiti II,1989,nan,108 min,"Adventure, Comedy, Sci-Fi",Sci-Fi,7.8,57,483087,118500000
Žaliasis žibintas,2011,PG-13,114 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.5,39,267238,116601172
9-asis rajonas,2009,R,112 min,"Action, Sci-Fi, Thriller",Sci-Fi,7.9,81,639189,115646235
Laukiniai Laukiniai Vakarai,1999,PG-13,106 min,"Action, Comedy, Sci-Fi",Sci-Fi,5.0,38,153346,113805681
Snipu vaikuciai,2001,PG,88 min,"Action, Adventure, Comedy",Sci-Fi,5.5,71,108966,112719001
Vaiduokliu medžiotojai 2,1989,V,108 min,"Action, Comedy, Fantasy",Sci-Fi,6.6,56,183698,112494738
Dviveidis,1997,R,138 min,"Action, Crime, Sci-Fi",Sci-Fi,7.2,82,350233,112225777
Šnipu vaikučiai: žaidimo pabaiga,2003,PG,84 min,"Action, Adventure, Comedy",Sci-Fi,4.3,57,55342,111761982
Ponas Zirnis ir Sermanas,2014,V,92 min,"Animation, Adventure, Comedy",Sci-Fi,6.8,59,62737,111506430
Stiklas,2019,N-13,129 min,"Drama, Sci-Fi, Thriller",Sci-Fi,6.7,43,209424,111048468
Godzila 2,2019,N-13,132 min,"Action, Adventure, Fantasy",Sci-Fi,6.0,48,137982,110500138
Vakaro pasakojimai,2008,V,99 min,"Adventure, Comedy, Family",Sci-Fi,6.0,33,88448,110101975
Star Trek IV: The Voyage Home,1986,PG,119 min,"Action, Adventure, Comedy",Sci-Fi,7.3,71,79143,109713132
Supermenas II,1980,PG,127 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.8,83,98363,108185706
Stebetoju Lyga,2009,R,162 min,"Action, Drama, Mystery",Sci-Fi,7.6,56,501936,107509799
Betmenas ir Robinas,1997,PG-13,125 min,"Action, Sci-Fi",Sci-Fi,3.8,28,234734,107325195
Phenomenon,1996,PG,123 min,"Drama, Fantasy, Romance",Sci-Fi,6.4,41,74531,104636382
Kelione i paslaptingąją salą,2012,N-7,94 min,"Action, Adventure, Family",Sci-Fi,5.8,41,93822,103860290
Legendos susivienija,2012,PG,97 min,"Animation, Action, Adventure",Sci-Fi,7.3,58,157623,103412758
Nepriklausomybes diena: atgimimas,2016,N-13,120 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.2,32,166991,103144286
Begantis labirintu,2014,N-13,113 min,"Action, Mystery, Sci-Fi",Sci-Fi,6.8,57,419161,102427862
Ugnies žiedas,2013,N-13,131 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.9,65,466520,101802906
Kelionė į Žemės centrą,2008,PG,93 min,"Action, Adventure, Family",Sci-Fi,5.8,57,113819,101704370
Griaunantys viska,2018,N-13,107 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.1,45,144847,101028233
Kontaktas,1997,PG,150 min,"Drama, Mystery, Sci-Fi",Sci-Fi,7.4,62,255163,100920329
Vanilinis dangus,2001,R,136 min,"Fantasy, Mystery, Romance",Sci-Fi,6.9,45,249331,100614858
Atvykimas,nan,N-13,116 min,"Drama, Sci-Fi",Sci-Fi,7.9,81,596527,100546139
A Wrinkle in Time,2018,PG,109 min,"Adventure, Family, Fantasy",Sci-Fi,4.2,53,41355,100478608
Kaubojai ir ateiviai,2011,PG-13,119 min,"Action, Sci-Fi, Thriller",Sci-Fi,6.0,50,208038,100240551
Ties riba į rytojų,2014,N-13,113 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.9,71,601692,100206256
Pakeleiviai,nan,N-13,116 min,"Drama, Romance, Sci-Fi",Sci-Fi,7.0,41,351168,100014699
Susipažinkite su Robinsonais,2007,G,95 min,"Animation, Adventure, Comedy",Sci-Fi,6.8,61,87785,97822171
Inspektorius Gadzetas,1999,PG,78 min,"Action, Adventure, Comedy",Sci-Fi,4.2,36,45516,97403112
Nepalaužiamasis,2000,PG-13,106 min,"Drama, Mystery, Sci-Fi",Sci-Fi,7.3,62,387974,95011339
Rytojaus zeme,2015,N-13,130 min,"Action, Adventure, Family",Sci-Fi,6.4,60,172351,93436322
Eliziejus,nan,N-13,109 min,"Action, Drama, Sci-Fi",Sci-Fi,6.6,61,419917,93050117
Skraiduolis,1997,PG,93 min,"Comedy, Family, Sci-Fi",Sci-Fi,5.3,37,84656,92977226
Bėgantis skustuvo ašmenimis 2049,2017,N-13,164 min,"Action, Drama, Mystery",Sci-Fi,8.0,81,464328,92054159
Star Trek: First Contact,1996,PG-13,111 min,"Action, Adventure, Drama",Sci-Fi,7.6,71,118281,92001027
Kosminis krepšinis,1996,PG,88 min,"Animation, Adventure, Comedy",Sci-Fi,6.5,59,163360,90463534
Terminatorius: Genisys,2015,N-13,126 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.3,38,260221,89760956
Užmirštieji,nan,N-13,124 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.0,54,487038,89021735
Waterworld,1995,PG-13,135 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.2,56,180702,88246220
Atgal i ateiti III,1990,nan,118 min,"Adventure, Comedy, Sci-Fi",Sci-Fi,7.4,55,406876,87727583
Šnipu vaikučiai II: prarastu svajoniu sala,2002,PG,100 min,"Action, Adventure, Comedy",Sci-Fi,5.2,66,61045,85846429
Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,1998,nan,96 min,"Animation, Action, Adventure",Sci-Fi,6.3,35,40051,85744662
Alita: kovos angelas,2019,N-13,122 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.3,53,229481,85710210
Grudintas plienas,2011,PG-13,127 min,"Action, Drama, Sci-Fi",Sci-Fi,7.1,56,298704,85468508
Galingieji reindzeriai,2017,PG-13,124 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.9,44,101980,85364450
Svetimi,1986,R,137 min,"Action, Adventure, Sci-Fi",Sci-Fi,8.3,84,654387,85160248
Skubis Du 2: Monstrai išlaisvinti,2004,PG,93 min,"Adventure, Comedy, Family",Sci-Fi,5.1,34,50285,84216833
Atlantida. Prarastoji imperija,2001,PG,95 min,"Animation, Action, Adventure",Sci-Fi,6.9,52,105052,84052762
X failai,1998,PG-13,121 min,"Drama, Mystery, Sci-Fi",Sci-Fi,7.1,60,101274,83898313
Pasauline invazija: musis del Los Andzelo,2011,PG-13,116 min,"Action, Sci-Fi",Sci-Fi,5.7,37,174597,83552429
Madagaskaro Pingvinai,2014,PG,92 min,"Animation, Adventure, Comedy",Sci-Fi,6.7,53,79649,83348920
Turbo,2013,V,96 min,"Animation, Adventure, Comedy",Sci-Fi,6.4,58,84955,83028128
Ašmenys 2,2002,R,117 min,"Action, Fantasy, Horror",Sci-Fi,6.7,52,200402,82348319
Star Trek: The Motion Picture,1979,V,132 min,"Adventure, Mystery, Sci-Fi",Sci-Fi,6.4,48,81880,82258456
Vežliukai nindzes: šešeliu ikaitai,2016,N-13,112 min,"Action, Adventure, Comedy",Sci-Fi,6.0,40,84695,82051601
Begantis labirintu: isbandymai ugnimi,2015,N-13,131 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.3,43,222830,81697192
Congo,1995,PG-13,109 min,"Action, Adventure, Mystery",Sci-Fi,5.3,22,42452,81022101
Džimis Neutronas. Genialus berniukas,2001,nan,82 min,"Animation, Action, Adventure",Sci-Fi,6.0,65,30898,80936232
Svetimas prieš Grobuoni,2004,PG-13,101 min,"Action, Adventure, Horror",Sci-Fi,5.6,29,185142,80282231
Šoklys,2008,PG-13,88 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.1,35,286959,80172128
Projektas MONSTRAS,2008,PG-13,85 min,"Action, Horror, Sci-Fi",Sci-Fi,7.0,64,373721,80048433
Vyrai juodais drabuziais: pasauline gresme,2019,N-13,114 min,"Action, Adventure, Comedy",Sci-Fi,5.6,38,109890,80001807
Suvokimas,2009,PG-13,121 min,"Action, Drama, Sci-Fi",Sci-Fi,6.2,41,221048,79957634
Karo žaidimai,1983,nan,114 min,"Action, Adventure, Drama",Sci-Fi,7.1,77,91210,79568000
"Diena, kai sustojo Žeme",2008,PG-13,104 min,"Drama, Sci-Fi, Thriller",Sci-Fi,5.5,40,163676,79366978
Šalutinis efektas,nan,N-16,105 min,"Sci-Fi, Thriller",Sci-Fi,7.4,59,527962,79249455
Isvalymas: rinkimu metai,2016,N-16,108 min,"Action, Horror, Sci-Fi",Sci-Fi,6.0,55,90317,79213375
Žvaigždžiu kelias II. Kano iniršis,1982,V,113 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.7,67,112932,78912963
Svetimas,1979,R,117 min,"Horror, Sci-Fi",Sci-Fi,8.4,89,790286,78900000
Pikseliai,2015,N-13,105 min,"Action, Comedy, Fantasy",Sci-Fi,5.5,27,132352,78747585
Vėžliai nindzės 2: Ozo paslaptis,1991,nan,88 min,"Action, Adventure, Comedy",Sci-Fi,6.1,45,51707,78656813
Dirbtinis intelektas,2001,PG-13,146 min,"Drama, Sci-Fi",Sci-Fi,7.2,65,290749,78616689
Star Trek III: The Search for Spock,1984,nan,105 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.7,56,75000,76471046
Kokonas,1985,nan,117 min,"Comedy, Drama, Sci-Fi",Sci-Fi,6.7,65,57481,76113124
Pragaro vaikis: Auksine armija,2008,PG-13,120 min,"Action, Adventure, Fantasy",Sci-Fi,7.0,78,255979,75754670
Star Trek: Generations,1994,PG,118 min,"Action, Adventure, Mystery",Sci-Fi,6.6,55,76684,75668868
Zombiu žeme,2009,R,88 min,"Adventure, Comedy, Fantasy",Sci-Fi,7.6,73,521113,75590286
Star Trek VI: The Undiscovered Country,1991,PG,110 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.2,65,70657,74888996
Svetimas: Covenant,2017,N-16,122 min,"Horror, Sci-Fi, Thriller",Sci-Fi,6.4,65,254983,74262031
Gili žydra jura,1999,R,105 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.9,54,125393,73648142
Nematomas žmogus,2000,R,112 min,"Action, Horror, Sci-Fi",Sci-Fi,5.8,24,123899,73209340
Džonas Karteris,2012,PG-13,132 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.6,51,255331,73078100
Šunu viešbutis,2009,PG,100 min,"Comedy, Family, Sci-Fi",Sci-Fi,5.4,51,21783,73034460
10-oji Kloverfyldo gatvė,2016,N-13,103 min,"Action, Drama, Horror",Sci-Fi,7.2,76,291629,72082998
Išvalymas: anarchija,2014,N-18,103 min,"Action, Adventure, Horror",Sci-Fi,6.4,50,138827,71962800
Galaktikos gelbetojai,1999,PG,102 min,"Adventure, Comedy, Sci-Fi",Sci-Fi,7.3,70,150142,71583916
Žvaigždžių vartai,1994,PG-13,116 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.1,42,175596,71565669
V - tai Vendeta,2005,R,132 min,"Action, Drama, Sci-Fi",Sci-Fi,8.2,62,1035315,70511035
Žutbutinis mušis,1995,PG-13,101 min,"Action, Adventure, Fantasy",Sci-Fi,5.8,58,102790,70454098
Munreikeris,1979,nan,126 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.3,66,91684,70308099
Star Trek: Insurrection,1998,PG,103 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.4,64,70865,70117571
Ašmenys,1998,R,120 min,"Action, Horror, Sci-Fi",Sci-Fi,7.1,45,245835,70087718
Pirmasis isvalymas,2018,N-16,97 min,"Action, Horror, Sci-Fi",Sci-Fi,5.2,54,55423,69488745
Pasiklydę kosmose,1998,PG-13,130 min,"Action, Adventure, Family",Sci-Fi,5.2,42,69456,69117629
Namo su laikrodžiais paslaptis,2018,N-7,105 min,"Comedy, Family, Fantasy",Sci-Fi,6.1,57,45799,68549695
Kelione i Raganu kalną,2009,N-7,98 min,"Action, Adventure, Family",Sci-Fi,5.7,52,55962,67172594
Užmiršti,2004,PG-13,91 min,"Drama, Mystery, Sci-Fi",Sci-Fi,5.8,43,63985,66641205
Laiko kilpa,2012,N-13,113 min,"Action, Drama, Sci-Fi",Sci-Fi,7.4,84,535585,66486205
Galutinis tikslas 4,2009,N-16,82 min,"Action, Fantasy, Horror",Sci-Fi,5.2,30,97313,66477700
Ekstraordinariu džentelmenu lyga,2003,PG-13,110 min,"Action, Adventure, Fantasy",Sci-Fi,5.8,30,168278,66465204
Divergentes serija: Lojalioji,2016,N-13,120 min,"Action, Adventure, Mystery",Sci-Fi,5.7,33,109610,66184051
Mandžiurijos kandidatas,2004,R,129 min,"Drama, Mystery, Sci-Fi",Sci-Fi,6.6,76,104193,65955630
Iksmenai: Tamsusis Feniksas,2019,N-13,113 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.7,43,156904,65845974
Laivu mušis,2012,PG-13,131 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.8,41,236873,65422625
Nematomas žmogus,nan,R,124 min,"Drama, Horror, Mystery",Sci-Fi,7.1,72,168908,64914050
Vaizdo dienorastis. Irasai turi galia,2012,PG-13,89 min,"Drama, Sci-Fi, Thriller",Sci-Fi,7.0,69,239939,64575175
Ivykis,2008,R,91 min,"Drama, Mystery, Sci-Fi",Sci-Fi,5.0,34,195937,64506874
Ledynmetis: susidūrimas,2016,V,94 min,"Animation, Adventure, Comedy",Sci-Fi,5.7,34,57341,64063008
Deja Vu,2006,PG-13,126 min,"Action, Crime, Sci-Fi",Sci-Fi,7.1,59,293884,64038616
Padangiu gimnazija,2005,V,100 min,"Adventure, Comedy, Family",Sci-Fi,6.2,62,79452,63946815
Vandens forma,2017,R,123 min,"Adventure, Drama, Fantasy",Sci-Fi,7.3,87,372837,63859435
Penktasis elementas,1997,PG-13,126 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.7,52,435095,63540020
Keliautojo laiku žmona,2009,PG-13,107 min,"Drama, Fantasy, Romance",Sci-Fi,7.1,47,140817,63414846
Likimo ekspertai,2011,PG-13,106 min,"Romance, Sci-Fi, Thriller",Sci-Fi,7.0,60,244511,62495645
Terminatorius. Tamsus likimas,2019,R,128 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.2,54,150841,62253077
Enderio žaidimas,2013,N-7,114 min,"Action, Adventure, Fantasy",Sci-Fi,6.6,51,224102,61737191
Anapus,1990,nan,115 min,"Drama, Horror, Sci-Fi",Sci-Fi,6.6,55,80111,61490000
Šventasis,1997,PG-13,116 min,"Action, Adventure, Romance",Sci-Fi,6.3,50,62684,61355436
Cele,2000,R,107 min,"Horror, Sci-Fi, Thriller",Sci-Fi,6.4,40,95581,61334059
Misija: Marsas,2000,PG,114 min,"Adventure, Sci-Fi, Thriller",Sci-Fi,5.7,34,70380,60883407
Žeme - nauja pradžia,2013,N-13,100 min,"Action, Adventure, Sci-Fi",Sci-Fi,4.8,33,191987,60522097
Absoliutus blogis: pomirtinis gyvenimas,2010,R,96 min,"Action, Adventure, Horror",Sci-Fi,5.8,37,162191,60128566
Grobuoniu veisle,1995,R,108 min,"Action, Horror, Sci-Fi",Sci-Fi,5.8,49,74445,60074103
Supermenas 3,1983,nan,125 min,"Action, Adventure, Comedy",Sci-Fi,5.0,44,64375,59950623
Ugnies ziedas: Sukilimas,2018,N-13,111 min,"Action, Adventure, Sci-Fi",Sci-Fi,5.6,44,106509,59874525
Grobuonis,1987,nan,107 min,"Action, Adventure, Sci-Fi",Sci-Fi,7.8,45,372330,59735548
Stepfordo moterys,2004,PG-13,93 min,"Comedy, Horror, Sci-Fi",Sci-Fi,5.3,42,61184,59484742
Viską prisiminti,nan,N-13,118 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.3,43,240741,58877969
"Brangioji, aš padidinau vaiką",1992,PG,89 min,"Adventure, Comedy, Family",Sci-Fi,4.9,50,41420,58662452
Robotas policininkas,2014,N-13,117 min,"Action, Crime, Sci-Fi",Sci-Fi,6.1,52,216483,58607007
Tukstantmečio žmogus,1999,V,132 min,"Comedy, Drama, Sci-Fi",Sci-Fi,6.9,42,110604,58220776
Visa griaunantis,1993,R,115 min,"Action, Sci-Fi, Thriller",Sci-Fi,6.7,34,159463,58055768
Begantis labirintu: vaistai nuo mirties,2018,N-13,143 min,"Action, Adventure, Sci-Fi",Sci-Fi,6.3,50,113940,58032443
Drugio efektas,2004,R,113 min,"Drama, Sci-Fi, Thriller",Sci-Fi,7.6,30,452377,57938693
