index,year,certificate,length,category,rating,metascore,total_votes,US_box_office,index,first_genre,second_genre,third_genre
69,2005.0,V,86.0,Comedy,6.9,57.0,368012.0,193595521.0,59,Animation,Adventure,Comedy
71,2014.0,N-16,112.0,Comedy,7.0,71.0,346517.0,191719337.0,60,Action,Comedy,Crime
72,2011.0,V,106.0,Comedy,6.1,57.0,161873.0,191452396.0,61,Animation,Adventure,Comedy
73,2014.0,N-13,101.0,Comedy,5.8,31.0,201264.0,191204754.0,62,Action,Adventure,Comedy
74,2002.0,PG-13,88.0,Comedy,6.2,49.0,344351.0,190418803.0,63,Action,Adventure,Comedy
75,2012.0,PG,101.0,Comedy,7.7,72.0,381229.0,189422889.0,64,Animation,Adventure,Comedy
76,2013.0,V,98.0,Comedy,7.2,55.0,193585.0,187168425.0,65,Animation,Adventure,Comedy
77,2005.0,PG-13,120.0,Comedy,6.5,55.0,451285.0,186336279.0,66,Action,Comedy,Crime
78,2015.0,N-13,115.0,Comedy,6.4,63.0,142768.0,184296230.0,67,Comedy,Music,
80,2007.0,V,87.0,Comedy,7.3,80.0,309315.0,183135014.0,68,Animation,Adventure,Comedy
81,2000.0,PG-13,127.0,Comedy,6.4,47.0,192056.0,182811707.0,69,Comedy,Fantasy,Romance
82,1997.0,PG-13,86.0,Comedy,6.9,70.0,281641.0,181410615.0,70,Comedy,Fantasy,
83,2015.0,N-13,117.0,Comedy,7.3,64.0,572628.0,180202163.0,71,Action,Adventure,Comedy
84,2008.0,V,89.0,Comedy,6.6,61.0,206333.0,180010950.0,72,Animation,Adventure,Comedy
86,2012.0,PG-13,106.0,Comedy,6.8,58.0,335993.0,179020854.0,73,Action,Adventure,Comedy
87,1990.0,R,119.0,Comedy,7.0,51.0,290835.0,178406268.0,74,Comedy,Romance,
89,2009.0,N-7,105.0,Comedy,6.0,42.0,178117.0,177243721.0,75,Adventure,Comedy,Family
91,1998.0,R,119.0,Comedy,7.1,69.0,291319.0,176484651.0,76,Comedy,Romance,
92,2002.0,PG,81.0,Comedy,7.5,60.0,443318.0,176387405.0,77,Animation,Adventure,Comedy
93,2017.0,V,104.0,Comedy,7.3,75.0,131568.0,175750384.0,78,Animation,Action,Comedy
94,2017.0,PG,97.0,Comedy,6.3,50.0,109202.0,175003033.0,79,Animation,Adventure,Comedy
96,2018.0,N-13,120.0,Comedy,6.9,74.0,143021.0,174532921.0,80,Comedy,Drama,Romance
97,1992.0,V,120.0,Comedy,6.8,46.0,311654.0,173585516.0,81,Adventure,Comedy,Crime
98,2003.0,PG,97.0,Comedy,7.0,64.0,231802.0,173398518.0,82,Adventure,Comedy,Family
99,2018.0,N-7,130.0,Comedy,6.7,66.0,77554.0,171958438.0,83,Comedy,Family,Fantasy
100,2002.0,PG-13,113.0,Comedy,7.2,81.0,216430.0,170687518.0,84,Comedy,Crime,Musical
101,2015.0,V,89.0,Comedy,6.7,44.0,108145.0,169700110.0,85,Animation,Comedy,Family
103,2007.0,N-7,100.0,Comedy,5.8,27.0,114297.0,168273550.0,86,Action,Adventure,Comedy
105,2018.0,V,97.0,Comedy,6.3,54.0,58082.0,167510016.0,87,Animation,Adventure,Comedy
106,2000.0,PG-13,108.0,Comedy,7.0,73.0,311752.0,166244045.0,88,Comedy,Romance,
107,2019.0,PG-13,130.0,Comedy,7.9,82.0,461720.0,165359751.0,89,Comedy,Crime,Drama
108,2011.0,N-7,90.0,Comedy,7.2,67.0,254671.0,165249063.0,90,Animation,Action,Adventure
110,1999.0,PG-13,93.0,Comedy,6.4,41.0,200493.0,163479795.0,91,Comedy,Drama,
